Cultivo,Fase,Temp. Opt. Mín. (°C),Temp. Recomendada (°C),Temp. Opt. Máx. (°C),Lluvia Óptima (mm),Humedad Ambiental (%),Humedad Suelo (%),Fuente URL
Guayaba,Germinación,12,18-24,30,600-900,70-80,65-75,https://dicta.gob.hn - El Cultivo de la Guayaba; https://undp.org - INSTRUCTIVO TÉCNICO - para el cultivo del guayabo
Lechuga,Germinación,5,12-18,24,300-400,65-75,65-75,INIFAP - Hortalizas de hoja
Limón,Germinación,12,18-24,30,700-1000,70-80,65-75,INIFAP - Cultivos cítricos
Maguey pulquero,Germinación,15,22-26,32,500-700,50-60,45-55,INIFAP - Maguey
Mango,Germinación,15,22-26,32,700-1000,70-80,65-75,https://jardinessinfronteras.com - ALGUNAS FRUTAS TROPICALES
Manzana,Germinación,5,12-18,25,600-800,60-70,60-75,INIFAP - Cultivos frutales templados
Maíz forrajero en verde,Germinación,10,16-22,28,400-600,60-70,60-75,INIFAP - Maíz forrajero
Maíz grano,Germinación,10,18-24,32,500-700,60-70,60-75,https://calidaddelaire.puebla.gob.mx - Vulnerabilidad del sector agrícola; https://cienciasagricolas.inifap.gob.mx - Temperaturas base
Melón,Germinación,14,20-26,32,300-500,55-65,55-70,INIFAP - Cucurbitáceas
Naranja,Germinación,12,18-24,30,700-1000,70-80,65-75,INIFAP - Cultivos cítricos
Nopalitos,Germinación,15,22-28,32,300-500,40-55,40-55,INIFAP - Cultivos xerófitos
Nuez,Germinación,8,14-20,26,700-1000,60-70,60-75,INIFAP - Cultivos frutales especiales
Papa,Germinación,8,14-20,25,400-600,60-70,60-75,https://fps.org.mx - Predicción de la fenología de papa
Papaya,Germinación,18,24-28,32,1000-1500,75-85,70-80,https://frutales.files.wordpress.com - CULTIVOS FRUTICOLA
Pepino,Germinación,16,22-28,32,400-600,60-70,60-75,INIFAP - Cucurbitáceas
Pera,Germinación,5,12-18,25,600-800,60-70,60-75,INIFAP - Cultivos frutales templados
Piña,Germinación,18,24-28,32,1000-1500,75-85,70-80,https://frutales.files.wordpress.com - CULTIVOS FRUTICOLA
Plátano,Germinación,18,24-28,32,1200-1500,75-85,70-80,https://frutales.files.wordpress.com - CULTIVOS FRUTICOLA
Rosa,Germinación,10,15-20,25,300-400,60-70,60-70,INIFAP - Flores de corte
Sandía,Germinación,14,22-28,32,300-500,55-65,55-70,INIFAP - Cucurbitáceas
Sorgo forrajero en verde,Germinación,12,18-24,30,300-500,55-65,55-70,https://fps.org.mx - Guía del cultivo de sorgo
Sorgo grano,Germinación,12,18-24,30,300-500,55-65,55-70,https://fps.org.mx - Guía del cultivo de sorgo
Soya,Germinación,10,16-22,28,400-600,60-70,60-75,INIFAP - Leguminosas
Tabaco,Germinación,15,20-26,32,400-600,60-70,60-75,INIFAP - Cultivos industriales
Tomate rojo (jitomate),Germinación,15,20-26,30,400-600,60-70,60-70,https://elfield.com.mx - Requerimientos edafoclimáticos del tomate; https://icamex.edomex.gob.mx - jitomate
Tomate verde,Germinación,15,20-25,28,400-600,60-70,60-70,https://hydroenv.com.mx - Guía para el Cultivo de Tomate Verde
Toronja (pomelo),Germinación,12,18-24,30,700-1000,70-80,65-75,INIFAP - Cultivos cítricos
Trigo grano,Germinación,5,12-18,25,250-400,55-70,60-75,https://agrawdata.com - Guía Completa para el Cultivo Exitoso de Cereales
Tuna,Germinación,15,22-28,32,300-500,40-55,40-55,INIFAP - Cultivos xerófitos
Uva,Germinación,8,14-20,26,600-900,60-70,60-75,INIFAP - Cultivos frutales
Zanahoria,Germinación,8,14-20,26,350-500,60-70,60-75,INIFAP - Hortalizas de raíz
Zarzamora,Germinación,5,12-18,24,500-700,65-75,65-80,INIFAP - Cultivos de berries
